4295798,-1.3599066,5.6886234,5.7843914
4295818,-1.9728222,6.493075,7.469909
4295865,-1.7429788,6.4547677,7.2783732
4295885,-1.4748282,6.3781533,6.8186865
4295907,-0.842759,6.6271505,6.6846113
4295927,-0.22984336,6.646304,6.531382
4295947,0.32561144,6.531382,6.3589997
4295968,0.05746084,6.8186865,7.0485296
4295989,-0.15322891,6.301539,7.3549876
4296009,0.30645782,5.9567738,7.1251445
4296030,1.8579005,6.1100025,6.2632318
4296051,3.466804,6.339846,6.14831
4296071,2.9113493,6.1866174,6.4547677
4296092,3.064578,6.129156,7.2209125
4296112,1.7621324,6.742072,6.6079965
4296133,-0.24899697,7.4124484,5.841852
4296156,1.5131354,6.531382,7.565677
4296176,0.8810662,6.6654577,6.83784
4296197,-0.019153614,6.703765,6.3781533
4296220,0.78529817,6.8569937,6.0525417
4296241,0.19153613,6.5505357,6.6654577
4296261,-0.36391866,6.83784,7.776367
4296282,0.05746084,6.646304,7.7572136
4296302,0.9768343,6.6079965,7.144298
4296323,1.2641385,6.7612257,6.8186865
4296346,-0.6512229,6.244078,7.776367
4296367,-0.7086837,6.4547677,7.5082164
4296388,0.076614454,6.244078,7.2209125
4296408,-0.30645782,6.129156,7.335834
4296429,-0.842759,6.0525417,7.240066
4296449,-0.11492168,6.14831,7.297527
4296470,0.7469909,6.4547677,7.0485296
4296491,0.61291564,6.397307,6.5696893
4296511,0.30645782,6.2249246,6.8569937
4296532,-0.11492168,6.3206925,7.4507556
4296552,0.7469909,6.3781533,7.374141
4296573,1.3024458,6.435614,6.799533
4296593,0.30645782,6.3781533,5.631162
4296614,-0.17238252,6.7229185,6.129156
4296635,0.4405331,6.7612257,7.776367
4296655,-0.095768064,7.1059904,6.646304
4296676,0.22984336,5.995081,7.067683
4296696,-0.842759,5.9184666,6.742072
4296719,-0.30645782,5.93762,6.6079965
4296737,-0.36391866,6.0525417,6.933608
4296759,0.038307227,5.497087,8.2169
4296808,3.1794999,7.4124484,9.883265
4296830,9.423578,11.204864,4.3861775
4296850,-1.3599066,5.3247046,11.166556
4296871,-6.9719152,0.2681506,11.473015
4296892,-11.511322,-3.8881836,8.695741
4296912,-11.166556,-5.6886234,5.650316
4296933,-8.772355,-4.5777135,3.6966474
4296954,-6.6079965,-1.8962077,5.363012
4296974,-1.2258313,1.6663644,9.002198
